Week Number,Team,Started: Qtr,Started: Spot,Started: Time,Started: How,Ended: Spot,Ended: Time,Ended: How,Plays - Yds.,TOP
10,SFU,1st,SFU25,08:08,PUNT,MER36,05:34,DOWNS,6-44,02:34
10,MER,1st,MER36,05:34,DOWNS,MER35,04:51,PUNT,3-(-1),00:43
10,SFU,1st,SFU16,04:51,PUNT,SFU37,00:54,PUNT,6-21,03:57
10,MER,1st,MER32,00:54,PUNT,MER39,12:36,PUNT,7-7,03:18
10,SFU,2nd,SFU16,12:36,PUNT,MER20,05:11,FG,13-64,07:25
10,MER,2nd,MER20,05:07,KO,SFU47,02:31,DOWNS,7-33,02:36
10,SFU,2nd,SFU47,02:31,DOWNS,MER8,00:00,FG,9-45,02:31
10,SFU,3rd,SFU34,14:54,KO,SFU42,13:46,PUNT,3-8,01:08
10,MER,3rd,MER29,13:46,PUNT,SFU18,09:16,FG,9-53,04:30
10,SFU,3rd,SFU21,09:01,KO,SFU49,05:25,PUNT,5-28,03:36
10,MER,3rd,MER14,05:25,PUNT,SFU0,02:36,TD,6-86,02:49
10,SFU,3rd,SFU26,02:04,KO,MER19,13:28,FGA,8-55,03:36
10,MER,4th,MER20,13:28,FGA,MER40,09:38,PUNT,6-20,03:50
10,SFU,4th,SFU26,09:38,PUNT,MER1,01:50,FG,16-73,07:48
10,MER,4th,MER35,01:47,KO,SFU48,01:35,FUMB,2-17,00:12
10,SFU,4th,MER7,01:35,FUMB,MER7,01:07,FG,4-0,00:28
10,MER,4th,MER35,01:00,KO,SFU0,00:20,TD,6-65,00:40
10,SFU,4th,SFU39,00:15,KO,SFU37,00:00,HALF,3-(-2),00:15
11,MER,1st,MER25,15:00,KO,RMU19,11:01,FG,9-56,03:59
11,RMU,1st,RMU34,10:55,KO,RMU43,08:00,PUNT,5-9,02:55
11,MER,1st,MER22,08:00,PUNT,RMU35,01:18,INT,12-43,06:42
11,RMU,1st,RMU14,01:18,INT,RMU37,13:43,PUNT,4-23,02:35
11,MER,2nd,MER15,13:43,PUNT,MER29,10:12,PUNT,5-14,03:31
11,RMU,2nd,RMU38,10:12,PUNT,MER44,06:00,PUNT,6-18,04:12
11,MER,2nd,MER11,06:00,PUNT,RMU37,01:05,DOWNS,11-52,04:55
11,RMU,2nd,RMU37,01:05,DOWNS,RMU36,00:26,PUNT,3-(-1),00:39
11,MER,2nd,MER35,00:26,PUNT,RMU21,00:00,FG,3-44,00:26
11,RMU,3rd,RMU34,14:49,KO,MER28,11:50,FG,7-38,02:59
11,MER,3rd,MER25,11:50,KO,MER19,09:25,PUNT,3-(-6),02:25
11,RMU,3rd,MER47,09:25,PUNT,MER5,05:40,FG,9-42,03:45
11,MER,3rd,MER25,05:40,KO,RMU0,04:17,TD,3-75,01:23
11,RMU,3rd,RMU28,04:09,KO,RMU43,02:42,FUMB,3-15,01:27
11,MER,3rd,RMU43,02:42,FUMB,RMU0,00:00,TD,5-43,02:42
11,RMU,4th,RMU50,14:57,KO,MER0,09:09,TD,9-50,05:48
11,MER,4th,MER13,09:02,KO,RMU0,05:28,TD,6-87,03:34
11,RMU,4th,RMU25,05:28,KO,RMU40,03:33,PUNT,6-15,01:55
11,MER,4th,MER20,03:33,PUNT,MER25,01:49,PUNT,3-5,01:44
11,RMU,4th,RMU35,01:49,PUNT,MER29,00:56,DOWNS,5-36,00:53
11,MER,4th,MER29,00:56,DOWNS,MER22,00:00,HALF,2-(-7),00:56
12,MER,1st,MER8,14:52,KO,MER30,13:13,PUNT,4-22,01:39
12,CCS,1st,MER22,13:13,PUNT,MER0,13:05,TD,1-22,00:08
12,MER,1st,MER25,12:57,KO,MER44,10:10,PUNT,6-19,02:47
12,MER,1st,CCS5,10:10,PUNT,CCS0,10:05,TD,1-5,00:05
12,CCS,1st,CCS29,09:58,KO,CCS31,08:58,PUNT,3-2,01:00
12,MER,1st,MER34,08:58,PUNT,CCS0,04:14,TD,7-66,04:44
12,CCS,1st,CCS28,04:07,KO,MER0,00:51,TD,8-72,03:16
12,MER,1st,MER18,00:46,KO,CCS17,11:09,DOWNS,11-65,04:37
12,CCS,2nd,CCS17,11:09,DOWNS,CCS32,08:20,PUNT,6-5,02:49
12,MER,2nd,MER19,08:20,PUNT,CCS0,07:30,TD,3-81,00:50
12,CCS,2nd,CCS22,07:25,KO,MER0,01:54,TD,14-78,05:31
