Week Number,Date,Site,Stadium,Attendance,Kickoff Time,End of Game,Duration,Temperature,Wind,Weather,VIEW,Scoring Play
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Wilson,Ashton 1 yd pass from Urena,Adam (Young,Max kick) 11 plays, 78 yards, TOP 05:22"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"UNH - Duffy,AJ 1 yd run (Quigley,Liam kick), 7 plays, 75 yards, TOP 02:44"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Williams,Jordan 19 yd pass from Williams,Cardell (Meadors,Grant kick) 4 plays, 74 yards, TOP 01:33"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Young,Max 34 yd field goal 12 plays, 58 yards, TOP 04:37"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Evans,Dylan 24 yd pass from Urena,Adam (Young,Max kick) 6 plays, 39 yards, TOP 02:38"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Trobel,Brian 1 yd run (Trobel,Brian rush), 15 plays, 85 yards, TOP 07:36"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Henderson II,Damian 19 yd run (Meadors,Grant kick), 9 plays, 78 yards, TOP 03:18"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Campbell,Ernest 57 yd pass from Williams,Cardell (Meadors,Grant kick) 1 plays, 57 yards, TOP 00:09"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Adams II,Sam 15 yd run (Meadors,Grant kick), 9 plays, 80 yards, TOP 02:57"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Davison,Rylan 16 yd pass from Urena,Adam (Young,Max kick) 12 plays, 84 yards, TOP 07:03"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Henderson II,Damian 4 yd run (Meadors,Grant kick), 10 plays, 53 yards, TOP 04:25"
